transaction_id,Date,Description,Amount,Category,vendor,related_employee_id,related_stream_id
txn_035,2025-01-09,Subscription payment (rev_sub_02),126.0,Revenue,Customer_rev_sub_02,,rev_sub_02
txn_036,2025-01-10,Payroll - emp_06,-3397.0,Payroll,emp_06,emp_06,
txn_037,2025-01-18,Expense - Figma,-4500.0,Operations,Figma,,
txn_038,2025-01-18,Payroll - emp_01,-5000.0,Payroll,emp_01,emp_01,
txn_039,2025-01-19,Payroll - emp_04,-3186.0,Payroll,emp_04,emp_04,
txn_040,2025-01-19,Payroll - emp_03,-3299.0,Payroll,emp_03,emp_03,
txn_041,2025-01-25,Expense - Stripe,-2719.0,Software,Stripe,,
txn_042,2025-02-04,Expense - Stripe,-5024.0,Software,Stripe,,
txn_043,2025-02-04,Payroll - emp_06,-3206.0,Payroll,emp_06,emp_06,
txn_044,2025-02-06,Payroll - emp_04,-3290.0,Payroll,emp_04,emp_04,
txn_045,2025-02-07,Payroll - emp_01,-5000.0,Payroll,emp_01,emp_01,
txn_046,2025-02-12,Payroll - emp_03,-3258.0,Payroll,emp_03,emp_03,
txn_047,2025-02-12,Payroll - emp_05,-3348.0,Payroll,emp_05,emp_05,
txn_048,2025-02-15,Payroll - emp_02,-5000.0,Payroll,emp_02,emp_02,
txn_049,2025-02-18,Expense - AWS,-806.0,Operations,AWS,,
txn_050,2025-02-23,Subscription payment (rev_sub_04),82.0,Revenue,Customer_rev_sub_04,,rev_sub_04
txn_051,2025-02-26,Subscription payment (rev_sub_02),179.0,Revenue,Customer_rev_sub_02,,rev_sub_02
txn_052,2025-03-05,Payroll - emp_01,-5000.0,Payroll,emp_01,emp_01,
txn_053,2025-03-05,Payroll - emp_06,-3207.0,Payroll,emp_06,emp_06,
txn_054,2025-03-10,Payroll - emp_04,-3378.0,Payroll,emp_04,emp_04,
txn_055,2025-03-10,Subscription payment (rev_sub_04),171.0,Revenue,Customer_rev_sub_04,,rev_sub_04
txn_056,2025-03-11,Office furniture purchase,-18000.0,Office,Office Furnishings Ltd,,
txn_057,2025-03-16,Payroll - emp_05,-3126.0,Payroll,emp_05,emp_05,
txn_058,2025-03-17,Subscription payment (rev_sub_03),128.0,Revenue,Customer_rev_sub_03,,rev_sub_03
txn_059,2025-03-20,Expense - AWS,-2166.0,Software,AWS,,
txn_060,2025-03-21,Expense - Stripe,-821.0,Infrastructure,Stripe,,
txn_061,2025-03-23,Expense - Google Workspace,-4931.0,Office,Google Workspace,,
txn_062,2025-03-25,Subscription payment (rev_sub_02),100.0,Revenue,Customer_rev_sub_02,,rev_sub_02
txn_063,2025-03-26,Subscription payment (rev_sub_05),145.0,Revenue,Customer_rev_sub_05,,rev_sub_05
txn_064,2025-04-04,Payroll - emp_06,-3377.0,Payroll,emp_06,emp_06,
txn_065,2025-04-04,Payroll - emp_01,-5000.0,Payroll,emp_01,emp_01,
txn_066,2025-04-08,Expense - AWS,-2723.0,Operations,AWS,,
txn_067,2025-04-08,Payroll - emp_05,-3040.0,Payroll,emp_05,emp_05,
txn_068,2025-04-10,Marketing - ad spend 5,-3010.0,Marketing,AdNetwork_5,,
txn_069,2025-04-10,Subscription payment (rev_sub_02),145.0,Revenue,Customer_rev_sub_02,,rev_sub_02
txn_070,2025-04-10,Expense - Stripe,-3392.0,Operations,Stripe,,
txn_071,2025-04-10,Marketing - ad spend 4,-3084.0,Marketing,AdNetwork_4,,
txn_072,2025-04-11,Payroll - emp_03,-3079.0,Payroll,emp_03,emp_03,
txn_073,2025-04-13,Subscription payment (rev_sub_06),200.0,Revenue,Customer_rev_sub_06,,rev_sub_06
txn_074,2025-04-13,Payroll - emp_04,-3105.0,Payroll,emp_04,emp_04,
txn_075,2025-04-13,Subscription payment (rev_sub_03),64.0,Revenue,Customer_rev_sub_03,,rev_sub_03
txn_076,2025-04-18,Marketing - ad spend 2,-5623.0,Marketing,AdNetwork_2,,
txn_077,2025-04-20,Subscription payment (rev_sub_05),182.0,Revenue,Customer_rev_sub_05,,rev_sub_05
txn_078,2025-04-23,Expense - Google Workspace,-2607.0,Infrastructure,Google Workspace,,
txn_079,2025-04-23,Subscription payment (rev_sub_04),92.0,Revenue,Customer_rev_sub_04,,rev_sub_04
txn_080,2025-04-26,Marketing - ad spend 1,-4044.0,Marketing,AdNetwork_1,,
txn_081,2025-05-04,Monthly subscription - BigCo,20000.0,Revenue,Client_BigCo,,rev_big_01
txn_082,2025-05-06,Expense - Stripe,-3009.0,Software,Stripe,,
txn_083,2025-05-09,Expense - Google Workspace,-3177.0,Office,Google Workspace,,
txn_084,2025-05-09,Payroll - emp_01,-5000.0,Payroll,emp_01,emp_01,
txn_085,2025-05-11,Payroll - emp_02,-5000.0,Payroll,emp_02,emp_02,
txn_086,2025-05-11,Subscription payment (rev_sub_02),188.0,Revenue,Customer_rev_sub_02,,rev_sub_02
txn_087,2025-05-13,Subscription payment (rev_sub_06),51.0,Revenue,Customer_rev_sub_06,,rev_sub_06
txn_088,2025-05-13,Subscription payment (rev_sub_03),195.0,Revenue,Customer_rev_sub_03,,rev_sub_03
txn_089,2025-05-13,Payroll - emp_06,-3317.0,Payroll,emp_06,emp_06,
txn_090,2025-05-14,Subscription payment (rev_sub_04),185.0,Revenue,Customer_rev_sub_04,,rev_sub_04
txn_091,2025-05-14,Marketing - ad spend 2,-5059.0,Marketing,AdNetwork_2,,
txn_092,2025-05-17,Marketing - ad spend 5,-2898.0,Marketing,AdNetwork_5,,
txn_093,2025-05-19,Expense - AWS,-1896.0,Office,AWS,,
txn_094,2025-05-22,Subscription payment (rev_sub_07),110.0,Revenue,Customer_rev_sub_07,,rev_sub_07
txn_095,2025-05-23,Marketing - ad spend 1,-4207.0,Marketing,AdNetwork_1,,
txn_096,2025-05-24,Marketing - ad spend 4,-3635.0,Marketing,AdNetwork_4,,
txn_097,2025-06-04,Payroll - emp_05,-3089.0,Payroll,emp_05,emp_05,
txn_098,2025-06-07,Marketing - ad spend 3,-5527.0,Marketing,AdNetwork_3,,
txn_099,2025-06-07,Payroll - emp_06,-3127.0,Payroll,emp_06,emp_06,
txn_100,2025-06-08,Subscription payment (rev_sub_03),71.0,Revenue,Customer_rev_sub_03,,rev_sub_03
txn_101,2025-06-08,Subscription payment (rev_sub_06),65.0,Revenue,Customer_rev_sub_06,,rev_sub_06
txn_102,2025-06-09,Marketing - ad spend 4,-2626.0,Marketing,AdNetwork_4,,
txn_103,2025-06-10,Payroll - emp_04,-3041.0,Payroll,emp_04,emp_04,
txn_104,2025-06-10,Marketing - ad spend 1,-4087.0,Marketing,AdNetwork_1,,
txn_105,2025-06-13,Payroll - emp_01,-5000.0,Payroll,emp_01,emp_01,
txn_106,2025-06-13,Subscription payment (rev_sub_05),107.0,Revenue,Customer_rev_sub_05,,rev_sub_05
txn_107,2025-06-13,Payroll - emp_02,-5000.0,Payroll,emp_02,emp_02,
txn_108,2025-06-14,Subscription payment (rev_sub_07),174.0,Revenue,Customer_rev_sub_07,,rev_sub_07
txn_109,2025-06-21,Marketing - ad spend 2,-2372.0,Marketing,AdNetwork_2,,
txn_110,2025-06-21,Expense - Stripe,-4483.0,Software,Stripe,,
txn_111,2025-06-22,Subscription payment (rev_sub_02),50.0,Revenue,Customer_rev_sub_02,,rev_sub_02
txn_112,2025-06-23,Expense - Figma,-998.0,Operations,Figma,,
txn_113,2025-06-23,Expense - Google Workspace,-4693.0,Office,Google Workspace,,
txn_114,2025-06-24,Subscription payment (rev_sub_08),197.0,Revenue,Customer_rev_sub_08,,rev_sub_08
txn_115,2025-06-25,Subscription payment (rev_sub_04),158.0,Revenue,Customer_rev_sub_04,,rev_sub_04
txn_116,2025-06-26,Marketing - ad spend 5,-2655.0,Marketing,AdNetwork_5,,
txn_117,2025-07-07,Payroll - emp_02,-5000.0,Payroll,emp_02,emp_02,
txn_118,2025-07-08,Subscription payment (rev_sub_05),136.0,Revenue,Customer_rev_sub_05,,rev_sub_05
txn_119,2025-07-09,Payroll - emp_01,-5000.0,Payroll,emp_01,emp_01,
txn_120,2025-07-10,Expense - Stripe,-2458.0,Operations,Stripe,,
txn_121,2025-07-10,Expense - Notion,-566.0,Software,Notion,,
txn_122,2025-07-10,Payroll - emp_04,-3073.0,Payroll,emp_04,emp_04,
txn_123,2025-07-12,Subscription payment (rev_sub_07),188.0,Revenue,Customer_rev_sub_07,,rev_sub_07
txn_124,2025-07-12,Subscription payment (rev_sub_04),188.0,Revenue,Customer_rev_sub_04,,rev_sub_04
txn_125,2025-07-12,Payroll - emp_06,-3007.0,Payroll,emp_06,emp_06,
txn_126,2025-07-13,Subscription payment (rev_sub_06),67.0,Revenue,Customer_rev_sub_06,,rev_sub_06
txn_127,2025-07-18,Revenue - new client order 5,4029.0,Revenue,Client_New_5,,rev_new_5
txn_128,2025-07-19,Revenue - new client order 6,6525.0,Revenue,Client_New_6,,rev_new_6
txn_129,2025-07-21,Subscription payment (rev_sub_08),112.0,Revenue,Customer_rev_sub_08,,rev_sub_08
txn_130,2025-07-21,Revenue - new client order 2,3260.0,Revenue,Client_New_2,,rev_new_2
txn_131,2025-07-21,Revenue - new client order 4,4917.0,Revenue,Client_New_4,,rev_new_4
txn_132,2025-07-23,Revenue - new client order 1,4729.0,Revenue,Client_New_1,,rev_new_1
txn_133,2025-07-23,Expense - Figma,-2312.0,Infrastructure,Figma,,
txn_134,2025-08-02,Revenue - new client order 1,5786.0,Revenue,Client_New_1,,rev_new_1
txn_135,2025-08-03,Payroll - emp_01,-5000.0,Payroll,emp_01,emp_01,
txn_136,2025-08-03,Payroll - emp_03,-3239.0,Payroll,emp_03,emp_03,
txn_137,2025-08-04,Payroll - emp_05,-3292.0,Payroll,emp_05,emp_05,
txn_138,2025-08-06,Subscription payment (rev_sub_05),200.0,Revenue,Customer_rev_sub_05,,rev_sub_05
txn_139,2025-08-07,Subscription payment (rev_sub_06),134.0,Revenue,Customer_rev_sub_06,,rev_sub_06
txn_140,2025-08-07,Expense - Google Workspace,-3769.0,Infrastructure,Google Workspace,,
txn_141,2025-08-10,Revenue - new client order 5,6148.0,Revenue,Client_New_5,,rev_new_5
txn_142,2025-08-10,Expense - AWS,-511.0,Software,AWS,,
txn_143,2025-08-12,Expense - Stripe,-1221.0,Office,Stripe,,
txn_144,2025-08-13,Expense - Zoom,-4921.0,Operations,Zoom,,
txn_145,2025-08-14,Payroll - emp_04,-3263.0,Payroll,emp_04,emp_04,
txn_146,2025-08-19,Expense - Figma,-229.0,Software,Figma,,
txn_147,2025-08-21,Subscription payment (rev_sub_08),154.0,Revenue,Customer_rev_sub_08,,rev_sub_08
txn_148,2025-08-22,Revenue - new client order 6,4393.0,Revenue,Client_New_6,,rev_new_6
txn_149,2025-08-23,Revenue - new client order 3,6624.0,Revenue,Client_New_3,,rev_new_3
txn_150,2025-08-25,Revenue - new client order 2,3469.0,Revenue,Client_New_2,,rev_new_2
